"Type.de.Mission";"Mission";"COD_PGM";"Programme";"Identifiant.Objectif";"Numéro.Objectif";"Objectif";"Identifiant.Indicateur";"Numéro.indicateur";"Indicateur";"type.indicateur";"Stratégique.au.niveau.mission.";"Indicateur.transversal.si.X";"Identifiant.sous.indicateur";"Sous.indicateur";"SSI.Nouveau..";"SSI.modifié.";"PAP.seulement...Sous.indicateur.Documenté..";"Unité";"Réalisation.2011";"Réalisation.2012";"Prévision.2013.PAP.2013";"Prévision.2013.PAP.2014";"Réalisation.2013";"Année.cible";"Valeur.cible";"Code.Ministère";"Ministère"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"6";"P105.1";"Construire l'Europe";"4";"P105.1.1";"Présence des Français et usage du français dans l'Union européenne";"Citoyen";"Stratégique mission";"";"3172";"1. Encadrement UE";"";"";"SSI Documenté";"%";"11";"11";"11";"11";"11";"2015";"11";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"6";"P105.1";"Construire l'Europe";"4";"P105.1.1";"Présence des Français et usage du français dans l'Union européenne";"Citoyen";"Stratégique mission";"";"3174";"2. Usage du français à l'Union européenne";"";"";"SSI Documenté";"%";"10";"10";"10";"10";"10";"2015";"10";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"7";"P105.2";"Renforcer la sécurité internationale et la sécurité des Français";"11193";"P105.2.1";"Evaluation de la politique de coopération, de sécurité et de défense";"Citoyen";"";"";"17875";"Taux de hauts responsables étrangers en activité, formés par la France (sous l'égide de la DCSD)";"";"";"SSI Documenté";"%";"41,7";"43,9";"43";"44,5";"44";"2015";"43,5";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"7";"P105.2";"Renforcer la sécurité internationale et la sécurité des Français";"11541";"P105.2.2";"Veiller à la sécurité des Français à l'étranger";"Citoyen";"";"";"19777";"1. Pourcentage de mises à jour des fiches ""conseils aux voyageurs"" par bimestre";"";"";"SSI Documenté";"%";"80";"98,49";"80";"80";"98,31";"2015";"80";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"7";"P105.2";"Renforcer la sécurité internationale et la sécurité des Français";"11541";"P105.2.2";"Veiller à la sécurité des Français à l'étranger";"Citoyen";"";"";"13749";"2. Nombre de consultations du site ""Conseils aux voyageurs""";"";"";"SSI Documenté";"Nombre";"6681572";"5203241";"7110000";"7110000";"6649179";"2015";"7320000";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"7";"P105.2";"Renforcer la sécurité internationale et la sécurité des Français";"11541";"P105.2.2";"Veiller à la sécurité des Français à l'étranger";"Citoyen";"";"";"13750";"3. Proportion de postes diplomatiques et consulaires dotés d'un plan de sécurité actualisé";"";"";"SSI Documenté";"%";"58";"79,26";"100";"100";"100";"2015";"100";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"9";"P105.3";"Promouvoir le multilatéralisme";"11730";"P105.3.1";"Présence des Français et usage du français dans les organisations internationales";"Citoyen";"";"";"4";"1. Taux d'""élections"" remportées par la France ou des Français";"";"";"SSI Documenté";"%";"82";"53";"100";"100";"100";"2015";"100";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"9";"P105.3";"Promouvoir le multilatéralisme";"11730";"P105.3.1";"Présence des Français et usage du français dans les organisations internationales";"Citoyen";"";"";"3171";"2. Encadrement ONU";"";"";"SSI Documenté";"%";"5,9";"4.9";"6";"6";"5,68";"2015";"6";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"9";"P105.3";"Promouvoir le multilatéralisme";"11730";"P105.3.1";"Présence des Français et usage du français dans les organisations internationales";"Citoyen";"";"";"3173";"3. Usage du français à l'ONU";"";"";"SSI Documenté";"%";"15";"17";"15";"15";"16,5";"2015";"15";"MIN01";"Affaires étrangères"
"Budget général";"Action extérieure de l'État";"P105";"Action de la France en Europe et dans le monde";"9";"P105.3";"Promouvoir le multilatéralisme";"11730";"P105.3.1";"Présence des Français et usage du français dans les organisations internationales";"Citoyen";"";"";"19929";"4. Présence d'experts français dans les organisations internationales";"";"";"SSI Documenté";"%";"11,5";"12";"12";"12";"8";"2015";"12";"MIN01";"Affaires étrangères"
