GESTION;2015;;;;;;;;;;;;
Type budget;Budget général;;;;;;;;;;;;
;;;;;;;;;;;;;
CP;;;;;;TITRE;;;;;;;
Ministère;Libellé ministère;Programme;Libellé programme;Action;Libellé action;T1;T2;T3;T4;T5;T6;T7;Total général
01;Affaires étrangères et développement international;105;Action de la France en Europe et dans le monde;01;Coordination de l'action diplomatique;;61 507 570;17 124 546;;;3 490 452;;82 122 568
01;Affaires étrangères et développement international;105;Action de la France en Europe et dans le monde;02;Action européenne;;6 141 213;112 589;;;39 839 233;;46 093 035
01;Affaires étrangères et développement international;105;Action de la France en Europe et dans le monde;04;Contributions internationales;;;;;;800 065 308;;800 065 308
01;Affaires étrangères et développement international;105;Action de la France en Europe et dans le monde;05;Coopération de sécurité et de défense;;64 471 500;5 711 565;;;16 572 555;;86 755 620
01;Affaires étrangères et développement international;105;Action de la France en Europe et dans le monde;06;Soutien;;112 254 695;114 299 418;;6 121 417;17 015;;232 692 545
01;Affaires étrangères et développement international;105;Action de la France en Europe et dans le monde;07;Réseau diplomatique;;368 594 259;204 210 208;;26 166 722;71 548;175 373;599 218 110
01;Affaires étrangères et développement international;151;Français à l'étranger et affaires consulaires;01;Offre d'un service public de qualité aux Français à l'étranger;;175 597 629;10 438 746;;;16 528 610;;202 564 985
01;Affaires étrangères et développement international;151;Français à l'étranger et affaires consulaires;02;Accès des élèves français au réseau AEFE;;;0;;;89 460 000;;89 460 000
01;Affaires étrangères et développement international;151;Français à l'étranger et affaires consulaires;03;Instruction des demandes de visa;;51 948 864;224 062;;34 173;0;;52 207 099
01;Affaires étrangères et développement international;185;Diplomatie culturelle et d'influence;01;Animation du réseau;;;44 371 857;;0;704 099;;45 075 956
01;Affaires étrangères et développement international;185;Diplomatie culturelle et d'influence;02;Coopération culturelle et promotion du français;;;32 585 267;;;43 442 540;;76 027 807
01;Affaires étrangères et développement international;185;Diplomatie culturelle et d'influence;03;Enjeux globaux;;;428 092;;;8 086 285;;8 514 377
01;Affaires étrangères et développement international;185;Diplomatie culturelle et d'influence;04;Attractivité et recherche;;;9 407 729;;;78 912 616;28;88 320 373
01;Affaires étrangères et développement international;185;Diplomatie culturelle et d'influence;05;Agence pour l'enseignement français à l'étranger;;;402 080 997;;;598 892;;402 679 889
